시설id,등록일시,수정일시,시설명,서비스분류코드,서비스분류명,자치구코드,자치구명,행정동 코드,행정동명,x좌표값,y좌표값,우편번호,기본주소,상세주소,운영시작일,연락처,사용료무료여부,운영일,휴관일,이용정원(기관),이용정원(개인),신청가능연령,자치구코드배열
SP250402,2025-04-16T15:33:38,2026-01-02T13:48:13,서울형 키즈카페 송파구 방이2동점(하하호호놀이터 송파구4호점),1011,서울형키즈카페,11710,송파구,3230047,방이2동,127.11532,37.51598,5545,서울특별시 송파구 위례성대로 28,"1층, 임마누엘교회 (방이동)",2025-04-30T00:00:00,02-415-3023,N,월~토,"일요일, 명절 및 법정공휴일, 근로자의 날",,,0세 ~ 6세
JR250401,2025-04-16T13:41:19,2026-02-09T10:38:20,서울형 키즈카페 중랑구 망우본동 2호점(중랑실내놀이터 망우역점),1011,서울형키즈카페,11260,중랑구,3060125,망우본동,127.09426,37.59711,2169,서울특별시 중랑구 망우로60길 37,"2층 (망우동, 효성 써너스빌 에코)",2025-04-29T00:00:00,02-437-1124,N,화요일 ~ 일요일 10:00~20:00,"월요일, 법정공휴일(어린이날 제외), 근로자의 날, 그 밖에 센터장이 지정한 날, 월요일이 공휴일인 경우 그 다음날을 휴관일로 지정",,,2세 ~ 6세
SP250401,2025-04-15T16:22:43,2026-02-05T16:04:05,서울형 키즈카페 송파구 위례동점(하하호호놀이터 송파구3호점),1011,서울형키즈카페,11710,송파구,3230250,위례동,127.149486153011,37.4871292574001,5846,서울특별시 송파구 위례송파로 123,"1703동 창의센터 (거여동, 포레나송파)",2025-04-29T00:00:00,070-7791-8335,N,화~일,"월요일, 명절 및 법정공휴일, 근로자의 날",,,4세 ~ 9세
DB250401,2025-04-07T13:23:02,2026-04-15T09:07:30,"서울형 키즈카페 도봉구 방학1동2호점(오밀조밀숲, 놀다람)",1011,서울형키즈카페,11320,도봉구,3090051,방학1동,127.035396954891,37.6642068013115,1343,서울특별시 도봉구 도당로 70," (방학동, 쏘네하임 103동 1층)",2025-04-30T00:00:00,02-955-3341,N,화요일 ~ 일요일,"월요일, 법정공휴일",,,0세 ~ 4세,11320
JG250301,2025-03-21T15:10:56,2026-04-21T09:09:52,서울형 키즈카페 중구 신당동점(노리몽땅),1011,서울형키즈카페,11140,중구,3010141,신당동,127.01448,37.56205,4610,서울특별시 중구 다산로33길 3,2층 노리몽땅 신당동점 (신당동),2025-04-08T00:00:00,02-2231-7926,N,화~일,월,,,0세 ~ 6세,11140
DM250304,2025-03-10T17:28:07,2026-04-14T09:30:46,서울형키즈카페 동대문구 장안1동점,1011,서울형키즈카페,11230,동대문구,3050054,장안1동,127.06859,37.57234,2624,서울특별시 동대문구 답십리로66길 3,서울형 키즈카페 장안1동점 (장안동),2025-03-24T00:00:00,02-2212-0833,N,월요일~토요일,"일요일, 법정공휴일, 근로자의 날 ",,,0세 ~ 6세,11230
DM250301,2025-03-08T21:21:14,2026-04-14T09:29:23,서울형키즈카페 동대문구 제기동점,1011,서울형키즈카페,11230,동대문구,3050131,제기동,127.03467,37.58373,2476,서울특별시 동대문구 약령시로7길 19,동대문구육아종합지원센터 제기점 2층,2025-03-24T00:00:00,070-4922-0421,N,월~토요일,"일요일, 법정공휴일, 근로자의 날 ",,,0세 ~ 6세,11230
SP250301,2025-03-06T13:56:10,2026-04-17T13:57:19,서울형 키즈카페 송파구 여성문화회관점(하하호호놀이터 송파구2호점),1011,서울형키즈카페,11710,송파구,3230050,송파1동,127.109755991516,37.5059928295172,5666,서울특별시 송파구 백제고분로42길 5,송파여성문화회관 1층 (송파동),2025-03-19T00:00:00,070-4118-7014,N,월~토,"일요일, 명절 및 법정공휴일, 근로자의 날",,,0세 ~ 3세,11710
EP250301,2025-03-06T10:36:32,2026-02-24T15:58:12,서울형 키즈카페 은평구 수색동점(은평아이맘놀이터),1011,서울형키즈카페,11380,은평구,3110054,수색동,126.89761382504,37.5844900216408,3490,서울특별시 은평구 은평터널로 27,"은평아이맘놀이터 3호점 (수색동, DMC아트포레자이 단지 외부) ",2025-04-01T00:00:00,02-2138-0597,N,화~일요일,"월요일(정기휴관), 근로자의 날, 법정 공휴일(어린이날 제외)",,,0세 ~ 6세,11380
GA250301,2025-03-04T20:49:11,2026-04-17T15:53:45,서울형 키즈카페 관악구 행운동점,1011,서울형키즈카페,11620,관악구,3200155,행운동,126.955144685093,37.4827065673204,8737,서울특별시 관악구 행운1마길 29,2층 (봉천동),2025-04-28T00:00:00,02-2039-8574,N,월요일~토요일,"일요일, 근로자의 날, 명절 및 법정 공휴일 (어린이날 예외)",,,3세 ~ 7세,11620
GR250201,2025-02-14T14:38:11,2026-04-29T17:22:05,서울형 키즈카페 구로구 구로4동점,1011,서울형키즈카페,11530,구로구,3160045,구로4동,126.88657,37.4899,8311,서울특별시 구로구 구로동로26길 54,서울형 키즈카페 (구로동),2025-03-18T00:00:00,070-8805-5678,N,화~일,"매주 월요일, 법정공휴일, 대체휴무일, 근로자의 날",,,0세 ~ 3세,11530
YC250202,2025-02-07T09:55:23,2026-04-21T13:43:31,서울형 키즈카페 양천구 신월3동점,1011,서울형키즈카페,11470,양천구,3140047,신월3동,126.82939,37.53362,7910,서울특별시 양천구 남부순환로 374,4층(신나다비전센터),2025-03-04T00:00:00,070-4266-2427,N,월~토,"일요일, 공휴일(어린이날 제외), 근로자의 날",,,3세 ~ 8세,11470
YC250201,2025-02-04T16:10:50,2026-04-23T10:08:41,서울형 키즈카페 양천구 목4동점,1011,서울형키즈카페,11470,양천구,3140042,목4동,126.86549,37.53897,7958,서울특별시 양천구 목동중앙남로 57-10,목사랑시장 고객주차장 2층 ,2025-02-28T00:00:00,02-2062-9011,N,화~일,"월, 공휴일(어린이날 제외), 근로자의 날",,,0세 ~ 6세,11470
GD250101,2025-01-24T11:09:37,2026-04-14T14:16:09,서울형 키즈카페 강동구 상일2동 2호점(아이?맘 강동),1011,서울형키즈카페,11740,강동구,3240040,상일동,127.1798058749,37.5553354285654,5416,서울특별시 강동구 고덕로98길 71,상일2동주민센터 3층 (상일동),2025-02-25T00:00:00,02-3425-7071,N,화~일,"월요일, 명절 및 공휴일",,,2세 ~ 6세,11740
DM250103,2025-01-16T09:40:06,2026-02-24T10:14:08,서울형 키즈카페 동대문구 답십리1동점,1011,서울형키즈카페,11230,동대문구,3050049,답십리1동,127.053742938044,37.5711533040266,2598,서울특별시 동대문구 답십리로 130,"309동 커뮤니티센터 내 (답십리동, 래미안위브)",2025-01-31T00:00:00,02-6404-5784,N,화요일~일요일,"월요일, 명절 및 공휴일, 근로자의 날",,,2세 ~ 5세,11230
DM250102,2025-01-03T11:18:59,2026-04-30T17:37:24,서울형 키즈카페 동대문구 회기동점,1011,서울형키즈카페,11230,동대문구,3050060,회기동,127.05226,37.591,2459,서울특별시 동대문구 회기로18길 8,(1층) (회기동),2025-01-24T00:00:00,02-964-0691,N,월요일~토요일,"매주 일요일, 법정 공휴일  (어린이날 정상 운영 )",,,1세 ~ 6세,11230
SM250102,2025-01-03T10:13:32,2026-04-29T10:59:22,서울형 키즈카페 서대문구 천연동점,1011,서울형키즈카페,11410,서대문구,3120040,천연동,126.95898,37.5658,3746,서울특별시 서대문구 독립문로8길 107,2층 (천연동),2025-02-07T00:00:00,02-393-1011,N,월~토(일요일은 휴관),"공휴일, 근로자의 날, 선거일, 임시 공휴일",,,3세 ~ 7세,11410
SM250101,2025-01-03T09:32:37,2026-04-29T10:06:35,서울형 키즈카페 서대문구 홍제3동점(키즈땅놀이터),1011,서울형키즈카페,11410,서대문구,3120052,홍제3동,126.94875083864,37.5986341260604,3618,서울특별시 서대문구 세검정로 104,문화촌제일교회 1층 (홍제3동),2025-02-14T00:00:00,02-394-7323,N,월요일~토요일,"일요일, 공휴일, 선거일, 임시 공휴일",,,2세 ~ 7세,11410
GA241203,2024-12-30T17:25:25,2026-02-19T11:13:24,서울형 키즈카페 관악구 보라매동점,1011,서울형키즈카페,11620,관악구,3200150,보라매동,126.93546,37.48673,8719,서울특별시 관악구 봉천로23길 6,3층 (봉천동),2025-01-02T00:00:00,02-877-2834,N,화~일,"월, 공휴일, 근로자의날",,,0세 ~ 6세,11620
GS241201,2024-12-30T15:32:33,2026-01-17T10:38:33,서울형 키즈카페 강서구 화곡4동점,1011,서울형키즈카페,11500,강서구,3150050,화곡4동,126.85768,37.53489,7739,서울특별시 강서구 곰달래로53길 80,대평교회 건물 2층 (화곡동),2024-12-31T00:00:00,070-7775-0900,N,월요일~토요일,"일요일, 명절, 공휴일, 근로자의 날, 정부에서 지정한 휴일",,,3세 ~ 6세
YS241201,2024-12-29T15:21:42,2026-04-30T13:13:47,서울형 키즈카페 용산구 후암동점(후암 초록숲 키즈카페),1011,서울형키즈카페,11170,용산구,3020039,후암동,126.9772,37.54798,4332,서울특별시 용산구 후암로13길 8,후암교회 1층 (후암동),2025-01-13T00:00:00,02-6263-3322,N,월 ~ 토,"일요일, 국가공휴일, 대체공휴일, 근로자의 날",,,0세 ~ 3세,11170
GA241201,2024-12-27T09:42:41,2026-02-11T17:43:21,서울형 키즈카페 관악구 난향동점,1011,서울형키즈카페,11620,관악구,3200163,난향동,126.91815,37.464,8859,서울특별시 관악구 난곡로9길 29-2,난향경로당 3층 (신림동),2025-08-28T00:00:00,02-867-2856,N,화~일,"월요일, 법정공휴일, 근로자의날",,,0세 ~ 6세,11620
DJ241204,2024-12-13T14:44:01,2026-03-03T16:07:09,서울형 키즈카페 동작구 상도1동2호점(동작키즈카페),1011,서울형키즈카페,11590,동작구,3190041,상도1동,126.94993,37.50541,6919,서울특별시 동작구 매봉로 1,김영삼도서관 1층 (상도1동),2025-01-24T00:00:00,070-7163-1478,N,화~일,월,,,0세 ~ 6세,11590
DJ241203,2024-12-13T14:16:01,2026-04-20T09:17:33,서울형 키즈카페 동작구 사당3동점(동작키즈카페),1011,서울형키즈카페,11590,동작구,3190053,사당3동,126.96856,37.49279,6989,서울특별시 동작구 사당로23길 254,별관 지하 1층 (사당동),2024-12-26T00:00:00,070-7163-1463,N,월~토," 일, 공휴일, 대체공휴일 및 근로자의날 (단, 어린이날은 운영)",,,0세 ~ 6세,11590
DJ241202,2024-12-13T14:08:44,2026-04-21T10:11:33,서울형 키즈카페 동작구 상도2동점(동작키즈카페),1011,서울형키즈카페,11590,동작구,3190042,상도2동,126.946066798455,37.5014666823348,7032,서울특별시 동작구 양녕로 220,"상가동 B1 (상도동, 상도역 롯데캐슬 파크엘)",2024-12-24T00:00:00,070-7163-1466,N,화~일,"월, 공휴일, 대체공휴일 및 근로자의날 (단, 어린이날은 운영)",,,0세 ~ 6세,11590
DJ241201,2024-12-13T14:06:25,2026-04-21T09:47:57,서울형 키즈카페 동작구 상도1동 1호점(동작키즈카페),1011,서울형키즈카페,11590,동작구,3190041,상도1동,126.95348,37.50424,6969,서울특별시 동작구 상도로47아길 44-1,1층 (상도동),2024-12-30T00:00:00,070-7163-1464,N,월~금,"토,일,공휴일",,,0세 ~ 6세,11590
DB241103,2024-11-29T18:19:33,2026-04-15T14:04:31,서울형 키즈카페 도봉구 쌍문2동점(쌍문별 탐험대),1011,서울형키즈카페,11320,도봉구,3090048,쌍문2동,127.03349,37.65135,1440,서울특별시 도봉구 노해로 227,(쌍문동),2025-01-21T00:00:00,02-6205-6729,N,화~일요일 ,"매주 월요일 휴관, 법정공휴일 휴관(근로자의 날 휴관/ 어린이날 정상운영) ",,,2세 ~ 8세,11320
DB241102,2024-11-29T18:11:24,2026-04-29T17:04:43,서울형 키즈카페 도봉구 도봉2동2호점(HOLA(올라) PLAY GROUND),1011,서울형키즈카페,11320,도봉구,3090046,도봉2동,127.04793,37.68316,1319,서울특별시 도봉구 도봉로180나길 19,"1층, (도봉동, 힐스테이트 도봉역 웰가)",2024-12-31T00:00:00,02-6952-6723,N,화~일요일 ,"월요일, 법정공휴일 ",,,3세 ~ 8세,11320
GS241101,2024-11-19T13:26:42,2026-02-14T11:56:07,서울형 키즈카페 시립 화곡점,1011,서울형키즈카페,11500,강서구,3150114,우장산동,126.83855,37.54534,7697,서울특별시 강서구 화곡로31나길 35,1층 서울형 키즈카페 시립 화곡점,2025-08-05T00:00:00,02-2606-0877,N,월~토,"일요일, 근로자의 날, 공휴일",,,4세 ~ 12세,11500
DB241101,2024-11-19T10:21:46,2026-04-15T09:35:07,서울형 키즈카페 도봉구 창3동점(우당탕탕 숲속대탐험),1011,서울형키즈카페,11320,도봉구,3090042,창3동,127.04106,37.63354,1482,서울특별시 도봉구 우이천로4길 24-5,"육아종합지원센터(창동), 1층 (창동)",2024-12-31T00:00:00,02-998-0708,N,화요일 ~ 일요일 ,"월요일, 법정공휴일 ",,,0세 ~ 6세,11320
SM241101,2024-11-04T15:26:52,2026-01-12T13:55:30,서울형 키즈카페 서대문구 남가좌1동점,1011,서울형키즈카페,11410,서대문구,3120057,남가좌1동,126.91992,37.57303,3711,서울특별시 서대문구 모래내로15길 31,서대문구육아종합지원센터 2층 (남가좌동),2024-11-29T00:00:00,02-3217-6551,N,월~토요일,"일요일, 대체공휴일, 국가공휴일, 근로자의 날",,,1세 ~ 3세
DJ241008,2024-10-31T13:41:50,2026-04-15T09:24:40,서울형 키즈카페 동작구 신대방1동점(동작키즈카페),1011,서울형키즈카페,11590,동작구,3190057,신대방1동,126.9084,37.48881,7069,서울특별시 동작구 신대방11길 24,1층 (신대방동),2024-11-05T00:00:00,02-849-9760,N,화~토,월,,,0세 ~ 6세,11590
DJ241006,2024-10-22T11:32:54,2026-03-09T22:42:52,서울형 키즈카페 동작구 흑석동점(동작키즈카페),1011,서울형키즈카페,11590,동작구,3190113,흑석동,126.96061,37.50512,6973,서울특별시 동작구 서달로 129,까망돌도서관 1층 (흑석동),2024-11-01T00:00:00,070-7163-1468,N,화~일,"월요일, 법정공휴일, 대체공휴일 및 근로자의날 ",,,0세 ~ 6세,11590
DJ241004,2024-10-22T11:27:33,2026-04-14T10:16:38,서울형 키즈카페 동작구 상도4동 2호점(동작키즈카페),1011,서울형키즈카페,11590,동작구,3190044,상도4동,126.93732,37.49762,7046,서울특별시 동작구 성대로16길 21,(상도동) 연꽃어린이집 건물 내 3층,2024-11-05T00:00:00,070-7163-1465,N,화~토,"월, 공휴일, 대체공휴일 및 근로자의날 (단, 어린이날은 운영)",,,0세 ~ 6세,11590
GJ241001,2024-10-14T11:15:23,2025-02-12T13:51:54,서울형키즈카페 시립 팔각당점,1011,서울형키즈카페,11215,광진구,3040046,능동,127.082470633675,37.5498573153912,4991,서울특별시 광진구 능동로 216, (능동),2024-10-15T00:00:00,02-458-5583,N,월~일,없음,,,1세 ~ 8세
GR241001,2024-10-10T16:29:39,2026-04-18T14:20:48,서울형 키즈카페 구로구 개봉1동점,1011,서울형키즈카페,11530,구로구,3160053,개봉1동,126.85591,37.49677,8274,서울특별시 구로구 경인로 318-15,2층 (개봉동),2024-10-29T00:00:00,02-2060-9909,N,화~일,월,,,3세 ~ 5세,11530
YF241001,2024-10-08T15:05:50,2026-04-15T17:42:55,서울형 키즈카페 영등포구 신길4동점,1011,서울형키즈카페,11560,영등포구,3180057,신길4동,126.91166,37.50715,7362,서울특별시 영등포구 신길로40길 5,육아종합지원센터 3층 (신길동),2024-11-01T00:00:00,02-833-6077,N,화요일~일요일,"월요일, 근로자의 날, 법정공휴일",,,0세 ~ 6세,11560
GJ240903,2024-09-30T11:18:59,2026-02-05T14:24:07,서울형 키즈카페 자양4동 2호점(꾸미팡팡 놀이터),1011,서울형키즈카페,11215,광진구,3040123,자양제4동,127.06964,37.53916,5073,서울특별시 광진구 능동로 87,3층 (자양동),2024-10-22T00:00:00,02-6462-1239,N,화요일~일요일,"월요일, 법정공휴일, 대체휴무일, 근로자의 날, 기타 정비일(소독) 등 ",,,1세 ~ 6세
GJ240902,2024-09-30T11:18:02,2026-02-05T14:22:56,서울형 키즈카페 자양4동 1호점(꾸미팡팡 놀이터),1011,서울형키즈카페,11215,광진구,3040123,자양제4동,127.06964,37.53916,5073,서울특별시 광진구 능동로 87,3층 (자양동),2024-10-22T00:00:00,02-6462-1235,N,화요일~일요일,"월요일, 법정공휴일, 대체휴무일, 근로자의 날, 기타 정비일(소독) 등",,,1세 ~ 6세
GN240902,2024-09-23T15:36:56,2026-03-27T14:08:45,서울형 키즈카페 강남구 역삼1동점,1011,서울형키즈카페,11680,강남구,3220053,역삼1동,127.03887,37.50777,6135,서울특별시 강남구 언주로107길 4,2층 (역삼동) 2층 서울형 키즈카페,2024-10-02T00:00:00,02-508-1700,N,화~일,"월요일 및 법정공휴일, 근로자의 날",,,0세 ~ 6세,11680
SB240903,2024-09-20T16:09:16,2025-12-31T18:35:57,서울형 키즈카페 성북구 정릉3동점,1011,서울형키즈카페,11290,성북구,3070053,정릉3동,127.00574,37.61281,2705,서울특별시 성북구 솔샘로17길 8,정릉 벧엘교회1층 입구 (정릉동),2024-10-15T00:00:00,02-909-6482,N,월~토,"일요일, 법정 공휴일, 근로자의 날",,,2세 ~ 7세
KC240902,2024-09-15T12:52:45,2026-01-22T18:24:28,서울형 키즈카페 금천구 시흥1동 나래랑키즈랑점,1011,서울형키즈카페,11545,금천구,3170049,시흥1동,126.90013,37.4487,8636,서울특별시 금천구 시흥대로45길 34,금천양문교회 커뮤니티센터 2층 (시흥동),2024-09-30T00:00:00,02-803-0272,N,월요일~토요일,"매주 일요일, 법정 공휴일, 근로자의날",,,0세 ~ 6세
KC240901,2024-09-14T12:41:38,2026-02-07T09:49:11,서울형 키즈카페 금천구 아이세상놀이터점,1011,서울형키즈카페,11545,금천구,3170043,독산1동,126.895608676729,37.4686984564726,8584,서울특별시 금천구 두산로 70,"A타워 1층 103호(독산동,현대지식산업센터) (독산동)",2024-09-29T00:00:00,02-2169-2067,N,화요일~일요일,"매주 월요일, 법정공휴일(어린이날 제외), 근로자의날",,,0세 ~ 6세
NW240901,2024-09-06T18:19:53,2026-03-10T13:38:01,서울형키즈카페 시립 옴팡점,1011,서울형키즈카페,11350,노원구,3100189,공릉1동,127.07695,37.62018,1849,서울특별시 노원구 동일로174길 27,서울생활사박물관 옴팡,2024-10-15T00:00:00,02-3399-2900,Y,화~일,"매주 월요일, 1월1일",,,0세 ~ 13세,11350
SB240902,2024-09-05T16:01:31,2026-04-22T15:46:16,서울형 키즈카페 성북구 성북동점,1011,서울형키즈카페,11290,성북구,3070141,성북동,127.006264397143,37.5900450967873,2834,서울특별시 성북구 성북로4길 21,2층 서울형키즈카페 성북동점 (동소문동1가),2024-11-25T00:00:00,02-744-0819,N,월~토,"매주 일, 법정공휴일, 근로자의 날, 기타 정부에서 지정하는 휴일",,,4세 ~ 8세,11290
GS240802,2024-08-28T09:13:55,2026-01-11T13:12:00,서울형 키즈카페 강서구 화곡3동점,1011,서울형키즈카페,11500,강서구,3150049,화곡3동,126.83597,37.54626,7705,서울특별시 강서구 강서로 231,"2층 (화곡동, 우장산역 해링턴 타워)",2024-09-02T00:00:00,02-2698-2299,N,화요일~일요일,"월요일, 명절, 공휴일, 근로자의 날, 정부에서 지정한 휴일",,,3세 ~ 6세
SC240801,2024-08-24T15:59:33,2026-04-16T11:59:54,서울형 키즈카페 서초구 서초1동점(서리풀노리학교 서초1동점),1011,서울형키즈카페,11650,서초구,3210040,서초1동,127.02236,37.49117,6636,서울특별시 서초구 사임당로 115,헤센파크힐 L층,2024-09-10T00:00:00,02-525-9340,N,화~일,"월요일, 근로자의 날, 법정공휴일",,,0세 ~ 6세,11650
SB240801,2024-08-12T17:00:10,2026-04-14T10:02:45,서울형 키즈카페 성북구 종암동점,1011,서울형키즈카페,11290,성북구,3070144,종암동,127.031489504744,37.5982134594991,2804,서울특별시 성북구 종암로19길 60,"성북함께어울림센터, 2층 (종암동)",2024-08-16T00:00:00,02-2241-0796,N,화~일,"월, 법정공휴일, 근로자의 날, 기타 정부에서 지정하는 휴일",,,0세 ~ 3세,11290
SB240702,2024-07-31T10:47:42,2026-04-14T10:02:23,서울형 키즈카페 성북구 정릉2동점,1011,서울형키즈카페,11290,성북구,3070052,정릉2동,127.00544,37.59816,2821,서울특별시 성북구 북악산로1길 64,"508커뮤니티센터, 1층 (정릉동)",2024-08-02T00:00:00,02-2241-0793,N,화~일,"월, 법정공휴일, 근로자의 날, 기타 정부에서 지정하는 휴일",,,2세 ~ 4세,11290
NW240701,2024-07-12T16:38:32,2026-03-16T14:34:04,서울형 키즈카페 노원구 중평공원점,1011,서울형키즈카페,11350,노원구,3100048,하계2동,127.06331499659,37.6371646091621,1776,서울특별시 노원구 동일로203길 73,중평공원 내 (하계동),2024-07-23T00:00:00,02-973-1955,N,화~일,"월, 공휴일, 근로자의 날",,,4세 ~ 8세,11350
DJ240701,2024-07-11T15:30:14,2026-04-24T15:43:31,서울형 키즈카페 동작구 상도4동 1호점(동작키즈카페),1011,서울형키즈카페,11590,동작구,3190044,상도4동,126.94037,37.49926,7047,서울특별시 동작구 성대로 180,상도어울마당 2층 (상도동),2024-08-12T00:00:00,070-7163-1477,N,월~토요일,"일, 공휴일",,,0세 ~ 6세,11590
SD240701,2024-07-11T11:06:14,2026-04-29T17:47:56,서울형 키즈카페 성동구 성수1가1동점(성수 키즈카페),1011,서울형키즈카페,11200,성동구,3030054,성수1가1동,127.04969,37.54204,4780,서울특별시 성동구 뚝섬로3길 18,성수1가1동주민센터 1층 (성수동1가),2024-07-29T00:00:00,02-461-3863,N,월요일~토요일,"일요일, 법정공휴일, 근로자의 날",,,0세 ~ 6세,11200
SM240501,2024-05-21T14:47:10,2026-02-27T10:41:29,서울형 키즈카페 서대문구 북가좌1동점(다정다감 키즈카페),1011,서울형키즈카페,11410,서대문구,3120059,북가좌1동,126.90753,37.57628,3714,서울특별시 서대문구 수색로8길 48-4,사회교육관 3층 (북가좌동),2024-08-05T00:00:00,02-304-5501,N,월~토,"일요일, 대체공휴일, 국가공휴일, 근로자의 날 ",,,4세 ~ 8세,11410
JR240501,2024-05-16T17:45:00,2026-01-18T10:10:37,서울형 키즈카페 중랑구 망우본동점(중랑실내놀이터 양원),1011,서울형키즈카페,11260,중랑구,3060125,망우본동,127.10249,37.61197,2057,서울특별시 중랑구 용마산로 670,"시티원스퀘어 상가 201동 지하1층 (망우동, 신내역 프라디움 더 테라스)",2024-05-31T00:00:00,02-438-4600,N,화~일요일,"월요일, 법정공휴일(어린이날 제외), 근로자의 날, 그 밖에 센터장이 지정한 날, 월요일이 공휴일인 경우 그 다음날을 휴관일로 지정",,,2세 ~ 8세
SP240401,2024-04-16T10:54:56,2026-04-30T13:51:13,서울형 키즈카페 송파구 잠실근린공원점(하하호호놀이터 송파구1호점),1011,서울형키즈카페,11710,송파구,3230059,잠실본동,127.08434,37.50614,5568,서울특별시 송파구 백제고분로15길 9,", 1?2층 (잠실동)",2024-05-31T00:00:00,070-4151-7061,N,화~일,"월요일, 명절 및 법정공휴일, 근로자의 날",,,4세 ~ 9세,11710
GJ240401,2024-04-11T16:59:27,2026-04-29T13:50:51,서울형 키즈카페 시립 뚝섬자벌레점,1011,서울형키즈카페,11215,광진구,3040123,자양제4동,127.06541,37.53016,5089,서울특별시 광진구 강변북로 2202,2층 꿈틀나루 (자양동),2024-05-17T00:00:00,02-498-4445,N,화~일,"월요일, 법정공휴일, 대체휴무일, 근로자의 날",,,0세 ~ 6세,11215
SC240404,2024-04-05T16:09:38,2026-04-14T09:35:11,서울형 키즈카페 서초구 방배2동점(서리풀노리학교 방배2동점),1011,서울형키즈카페,11650,서초구,3210052,방배2동,126.98379,37.48455,6675,서울특별시 서초구 방배천로24길 8,방주교회 1층 (방배동),2024-04-14T00:00:00,02-523-9340,N,화~일,"월요일, 근로자의 날, 법정공휴일",,,0세 ~ 6세,11650
JG240301,2024-03-05T13:11:49,2026-04-28T15:28:32,서울형 키즈카페 중구 중림동점(노리몽땅),1011,서울형키즈카페,11140,중구,3010056,중림동,126.96625,37.55952,4506,서울특별시 중구 서소문로6길 16,본관 1층 (중림동),2024-04-25T00:00:00,02-363-2628,N,화~일,월,,,0세 ~ 6세,11140
SB240201,2024-02-23T17:00:33,2026-04-15T16:45:43,서울형 키즈카페 성북구 벌집어린이공원점,1011,서울형키즈카페,11290,성북구,3070144,종암동,127.036924977486,37.5996136856943,2797,서울특별시 성북구 월곡로7길 56-7,서울형 키즈카페 성북구 벌집어린이공원점 (종암동),2024-02-29T00:00:00,02-2241-0790,N,화~일,"월, 법정공휴일, 근로자의 날, 기타 정부에서 지정하는 휴일",,,3세 ~ 7세,11290
GA240101,2024-01-31T15:38:11,2026-04-17T13:11:43,서울형 키즈카페 관악구 난곡동점,1011,서울형키즈카페,11620,관악구,3200169,난곡동,126.92355,37.46941,8856,서울특별시 관악구 난곡로24가길 53,2층 (신림동),2024-03-05T00:00:00,02-867-2846,N,화~일,"월요일. 공휴일, 근로자의날",,,0세 ~ 6세,11620
GD240101,2024-01-18T11:17:45,2026-01-07T13:41:38,서울형 키즈카페 강동구 성내1동점(아이?맘 강동),1011,서울형키즈카페,11740,강동구,3240053,성내1동,127.12248,37.52917,5398,서울특별시 강동구 성내로6길 16,2층 (성내동),2024-02-02T00:00:00,02-3425-9398,N,화~일,"월요일, 명절 및 공휴일",,,0세 ~ 6세
DB231202,2023-12-21T18:25:02,2026-04-15T13:58:20,서울형 키즈카페 도봉구 창1동점(숲속유람선 뚜뚜),1011,서울형키즈카페,11320,도봉구,3090040,창1동,127.04554,37.64882,1425,서울특별시 도봉구 해등로4길 38,초안산생태공원 내 위치 (창동),2024-01-16T00:00:00,02-994-7456,N,화~일,"월요일, 공휴일 ",,,0세 ~ 4세,11320
DB231201,2023-12-21T18:14:15,2026-04-29T17:01:26,서울형 키즈카페 도봉구 방학1동점1호점(오르봉내리봉),1011,서울형키즈카페,11320,도봉구,3090051,방학1동,127.047172148535,37.6687751199317,1331,서울특별시 도봉구 마들로 656,"도봉구청사, 지하1층 (방학동)",2024-01-21T00:00:00,070-4190-8922,N,화~일,"월요일, 공휴일 (근로자의 날 포함)",,,2세 ~ 7세,11320
GD231201,2023-12-08T16:39:27,2026-01-07T14:13:15,서울형 키즈카페 강동구 상일2동점(아이?맘 강동),1011,서울형키즈카페,11740,강동구,3240040,상일동,127.17236,37.55678,5285,서울특별시 강동구 상일로12길 95,"푸르내상가 102-303 (상일동, 푸르내)",2024-01-22T00:00:00,02-3425-7076,N,화~일,"월요일, 명절 및 공휴일",,,0세 ~ 6세
YC231206,2023-12-07T08:33:02,2026-04-17T13:02:22,서울형 키즈카페 양천구 오목공원점,1011,서울형키즈카페,11470,양천구,3140039,목1동,126.87365,37.52757,7996,서울특별시 양천구 목동서로 159-4,서울형 키즈카페 양천구 오목공원점 (목동),2024-02-13T00:00:00,070-7700-9294,N,화~일요일,"월요일, 공휴일, 근로자의 날",,,4세 ~ 9세,11470
SC231201,2023-12-01T13:42:50,2026-04-14T09:21:31,서울형 키즈카페 서초구 양재1동점(서리풀노리학교 양재1동점),1011,서울형키즈카페,11650,서초구,3210055,양재1동,127.041420131434,37.4786405119092,6747,서울특별시 서초구 양재천로 125-10,양재공영주차빌딩 2층 (양재동),2024-01-26T00:00:00,02-575-9340,N,화~일,"월요일, 근로자의 날, 법정공휴일",,,0세 ~ 6세,11650
YC231201,2023-12-01T10:57:52,2026-04-29T11:27:33,서울형 키즈카페 시립 목동점,1011,서울형키즈카페,11470,양천구,3140043,목5동,126.883704665072,37.5421941053229,7978,서울특별시 양천구 안양천로 1131,지식산업센터 2층 (목동),2024-01-15T00:00:00,02-2647-7507,N,월~토,"일요일, 법정공휴일, 대체공휴일, 근로자의 날",,,3세 ~ 12세,11470
